frame,score
0,
100,
200,
300,
400,
500,
600,0-0
700,0-0
800,0-0
900,0-0
1000,0-0
1100,0-0
1200,0-0
1300,0-0
1400,
1500,0-1
1600,
1700,
1800,
1900,0-1
2000,0-1
2100,0-1
2200,0-1
2300,
2400,
2500,
2600,
2700,1-1
2800,1-1
2900,1-1
3000,
3100,1-1
3200,
3300,1-1
3400,1-1
3500,1-7
3600,1-1
3700,1-1
3800,2-1
3900,2-1
4000,
4100,
4200,
4300,2-1
4400,2-1
4500,2-1
4600,2-1
4700,2-7
4800,2-7
4900,
5000,2-1
5100,2-1
5200,2-1
5300,2-1
5400,2-1
5500,
5600,
5700,2-1
5800,
5900,2-1
6000,
6100,2-1
6200,2-1
6300,2-1
6400,
6500,
6600,
6700,3-1
6800,
6900,
7000,3-1
7100,
7200,3-1
7300,3-1
7400,3-7
7500,
7600,3-1
7700,3-1
7800,3-7
7900,3-1
8000,3-2
8100,3-2
8200,3-2
8300,3-2
8400,3-2
8500,3-2
8600,3-2
8700,3-2
8800,3-2
8900,3-2
9000,
9100,
9200,3-2
9300,3-2
9400,3-1
9500,
9600,
9700,
9800,
9900,
10000,3-2
10100,3-3
10200,3-3
10300,3-3
10400,3-3
10500,3-3
10600,3-3
10700,3-3
10800,3-3
10900,3-3
11000,3-3
11100,3-3
11200,3-3
11300,3-3
11400,3-3
11500,3-3
11600,3-3
11700,4-3
11800,4-3
11900,4-3
12000,4-3
12100,4-3
12200,4-3
12300,4-3
12400,4-3
12500,4-3
12600,4-4
12700,4-4
12800,4-4
12900,4-4
13000,4-4
13100,4-4
13200,4-4
13300,4-4
13400,4-4
13500,4-4
13600,
13700,
13800,4-4
13900,4-4
14000,4-4
14100,4-4
14200,4-4
14300,4-4
14400,4-4
14500,4-4
14600,4-4
14700,4-4
14800,4-4
14900,4-4
15000,4-5
15100,
15200,4-5
15300,4-5
15400,4-5
15500,4-5
15600,4-5
15700,4-5
15800,4-5
15900,4-5
16000,4-5
16100,4-5
16200,
16300,4-5
16400,4-5
16500,4-5
16600,4-5
16700,4-6
16800,4-6
16900,
17000,4-6
17100,
17200,4-6
17300,4-6
17400,4-6
17500,
17600,4-6
17700,4-6
17800,4-6
17900,4-6
18000,4-6
18100,
18200,
18300,4-6
18400,4-6
18500,4-7
18600,4-7
18700,4-7
18800,4-7
18900,4-7
19000,4-7
19100,4-7
19200,4-7
19300,4-7
19400,4-7
19500,4-7
19600,4-7
19700,4-7
19800,4-7
19900,4-7
20000,4-8
20100,4-8
20200,4-8
20300,4-8
20400,4-8
20500,4-8
20600,4-8
20700,4-8
20800,4-8
20900,4-8
21000,4-8
21100,4-8
21200,4-8
21300,4-8
21400,4-8
21500,4-8
21600,4-8
21700,4-8
21800,4-8
21900,4-8
22000,4-8
22100,4-8
22200,5-8
22300,5-8
22400,5-8
22500,5-8
22600,5-8
22700,5-8
22800,5-8
22900,5-8
23000,5-8
23100,5-8
23200,5-8
23300,5-8
23400,5-8
23500,5-8
23600,5-8
23700,5-8
23800,5-8
23900,5-8
24000,5-8
24100,5-8
24200,5-8
24300,5-8
24400,5-8
24500,5-8
24600,5-9
24700,5-9
24800,5-9
24900,5-9
25000,5-9
25100,5-9
25200,5-9
25300,5-9
25400,5-10
25500,5-10
25600,5-10
25700,5-10
25800,5-10
25900,5-10
26000,5-10
26100,5-10
26200,5-10
26300,5-10
26400,5-10
26500,5-10
26600,5-10
26700,5-10
26800,5-10
26900,5-10
27000,5-10
27100,5-10
27200,5-10
27300,6-10
27400,6-10
27500,6-10
27600,6-10
27700,6-10
27800,6-10
27900,6-10
28000,6-10
28100,6-10
28200,6-10
28300,6-10
28400,6-10
28500,6-10
28600,6-10
28700,6-10
28800,6-10
28900,6-10
29000,6-10
29100,6-11
29200,6-11
29300,6-11
29400,
29500,6-11
29600,6-11
29700,6-11
29800,6-11
29900,6-11
30000,6-11
30100,6-11
30200,6-11
30300,6-11
30400,6-11
30500,6-11
30600,6-11
30700,6-11
30800,6-11
30900,6-11
31000,6-11
31100,6-11
31200,
31300,
31400,
31500,
31600,
31700,
31800,
31900,
32000,
32100,
32200,
32300,
32400,
32500,
32600,
32700,
32800,0-0
32900,0-0
33000,0-0
33100,0-0
33200,0-0
33300,0-0
33400,0-0
33500,0-0
33600,0-0
33700,0-0
33800,0-1
33900,
34000,0-1
34100,
34200,
34300,0-1
34400,0-1
34500,0-1
34600,0-1
34700,0-1
34800,0-1
34900,0-1
35000,
35100,
35200,
35300,1-1
35400,
35500,
35600,
35700,
35800,1-1
35900,
36000,
36100,
36200,1-1
36300,1-1
36400,1-1
36500,
36600,
36700,1-2
36800,1-2
36900,1-2
37000,
37100,1-2
37200,1-2
37300,1-2
37400,1-2
37500,
37600,1-2
37700,1-2
37800,1-2
37900,1-2
38000,
38100,2-2
38200,2-2
38300,2-2
38400,2-2
38500,2-2
38600,2-2
38700,2-2
38800,2-2
38900,2-2
39000,2-2
39100,
39200,2-3
39300,2-3
39400,2-3
39500,2-3
39600,2-3
39700,2-3
39800,2-3
39900,2-3
40000,2-3
40100,2-4
40200,2-4
40300,2-4
40400,2-4
40500,2-4
40600,2-4
40700,2-4
40800,2-4
40900,2-4
41000,2-4
41100,2-4
41200,2-4
41300,2-4
41400,2-4
41500,2-5
41600,2-5
41700,2-5
41800,2-5
41900,2-5
42000,2-5
42100,2-5
42200,2-5
42300,2-5
42400,2-5
42500,2-5
42600,2-5
42700,2-5
42800,2-5
42900,2-5
43000,2-5
43100,2-5
43200,2-5
43300,2-5
43400,2-5
43500,2-5
43600,3-5
43700,3-5
43800,3-5
43900,3-5
44000,3-5
44100,3-5
44200,3-5
44300,3-5
44400,3-5
44500,3-5
44600,3-5
44700,3-5
44800,3-5
44900,3-5
45000,3-5
45100,3-5
45200,3-6
45300,3-6
45400,3-6
45500,3-6
45600,3-6
45700,3-6
45800,3-6
45900,3-6
46000,3-6
46100,3-6
46200,3-6
46300,3-6
46400,3-6
46500,3-6
46600,3-6
46700,4-6
46800,4-6
46900,4-6
47000,4-6
47100,4-6
47200,4-6
47300,4-6
47400,4-6
47500,4-6
47600,4-6
47700,4-6
47800,4-6
47900,4-6
48000,4-6
48100,4-7
48200,4-7
48300,4-7
48400,4-7
48500,4-7
48600,4-7
48700,4-7
48800,
48900,
49000,
49100,4-7
49200,
49300,
49400,5-7
49500,5-7
49600,5-7
49700,5-7
49800,5-7
49900,5-7
50000,5-7
50100,5-7
50200,5-7
50300,5-7
50400,5-7
50500,5-7
50600,5-7
50700,5-7
50800,5-7
50900,5-7
51000,5-7
51100,5-7
51200,5-7
51300,6-7
51400,6-7
51500,6-7
51600,6-7
51700,6-7
51800,6-7
51900,6-7
52000,6-7
52100,6-7
52200,6-7
52300,6-7
52400,6-7
52500,7-7
52600,7-7
52700,7-7
52800,7-7
52900,7-7
53000,7-7
53100,7-7
53200,7-7
53300,7-7
53400,7-7
53500,7-7
53600,7-7
53700,7-7
53800,7-7
53900,7-7
54000,8-7
54100,8-7
54200,8-7
54300,8-7
54400,8-7
54500,8-7
54600,8-7
54700,8-7
54800,8-7
54900,8-7
55000,8-7
55100,8-7
55200,8-7
55300,8-7
55400,8-7
55500,8-7
55600,9-7
55700,9-7
55800,9-7
55900,9-7
56000,9-7
56100,9-7
56200,9-7
56300,9-7
56400,9-7
56500,9-7
56600,9-7
56700,9-7
56800,9-7
56900,9-7
57000,9-7
57100,9-7
57200,9-7
57300,9-7
57400,10-7
57500,10-7
57600,10-7
57700,10-7
57800,10-7
57900,10-7
58000,10-7
58100,10-7
58200,10-7
58300,10-7
58400,10-7
58500,10-7
58600,10-7
58700,10-7
58800,10-7
58900,10-8
59000,10-8
59100,10-8
59200,10-8
59300,10-8
59400,10-8
59500,10-8
59600,10-8
59700,10-8
59800,10-8
59900,10-8
60000,10-8
60100,10-8
60200,10-8
60300,10-8
60400,10-8
60500,10-8
60600,10-8
60700,10-8
60800,10-8
60900,10-8
61000,10-8
61100,10-8
61200,10-8
61300,10-8
61400,10-8
61500,11-8
61600,11-8
61700,
61800,11-8
61900,
62000,11-8
62100,11-8
62200,11-8
62300,11-8
62400,11-8
62500,11-8
62600,11-8
62700,11-8
62800,11-8
62900,11-8
63000,
63100,
63200,11-8
63300,11-8
63400,11-8
63500,11-8
63600,11-8
63700,11-8
63800,11-8
63900,11-8
64000,11-8
64100,11-8
64200,11-8
64300,11-8
64400,11-8
64500,11-8
64600,11-8
64700,11-8
64800,11-8
64900,11-8
65000,11-8
65100,
65200,
65300,
65400,
65500,
65600,
65700,
65800,
65900,
66000,
66100,
66200,
66300,
66400,0-0
66500,0-0
66600,0-0
66700,0-0
66800,0-0
66900,0-0
67000,0-0
67100,0-0
67200,
67300,1-0
67400,1-0
67500,
67600,
67700,1-0
67800,
67900,1-0
68000,1-0
68100,1-0
68200,1-0
68300,2-0
68400,
68500,2-0
68600,2-0
68700,2-0
68800,2-0
68900,2-0
69000,2-0
69100,2-0
69200,2-0
69300,2-0
69400,2-0
69500,2-0
69600,2-0
69700,2-0
69800,
69900,2-7
70000,2-7
70100,2-1
70200,2-1
70300,2-1
70400,2-1
70500,
70600,
70700,
70800,
70900,2-1
71000,2-7
71100,2-1
71200,2-1
71300,2-7
71400,
71500,2-1
71600,3-1
71700,
71800,
71900,
72000,3-7
72100,
72200,3-1
72300,
72400,3-1
72500,
72600,3-1
72700,3-1
72800,3-7
72900,3-7
73000,3-1
73100,3-1
73200,3-1
73300,
73400,
73500,
73600,
73700,
73800,
73900,
74000,
74100,
74200,
74300,
74400,
74500,
74600,
74700,
74800,
74900,
75000,
75100,4-1
75200,
75300,
75400,
75500,
75600,4-1
75700,
75800,
75900,
76000,
76100,
76200,
76300,
76400,
76500,
76600,
76700,4-3
76800,4-3
76900,4-3
77000,4-3
77100,4-3
77200,
77300,4-3
77400,4-3
77500,4-3
77600,4-3
77700,4-3
77800,4-3
77900,4-3
78000,4-3
78100,
78200,4-3
78300,
78400,
78500,4-3
78600,4-3
78700,
78800,4-3
78900,
79000,
79100,5-3
79200,5-3
79300,5-3
79400,5-3
79500,5-3
79600,5-3
79700,5-3
79800,5-3
79900,5-3
80000,5-3
80100,5-3
80200,5-3
80300,5-3
80400,5-3
80500,
80600,5-3
80700,5-3
80800,5-3
80900,6-3
81000,6-3
81100,6-3
81200,
81300,6-3
81400,6-3
81500,6-3
81600,6-3
81700,6-3
81800,6-3
81900,6-3
82000,6-3
82100,6-3
82200,6-3
82300,6-3
82400,6-3
82500,6-4
82600,6-3
82700,6-3
82800,6-3
82900,6-4
83000,6-4
83100,6-4
83200,6-4
83300,6-4
83400,
83500,6-4
83600,6-4
83700,6-4
83800,
83900,6-4
84000,6-4
84100,6-4
84200,7-4
84300,7-4
84400,7-4
84500,7-4
84600,7-4
84700,7-4
84800,7-4
84900,7-4
85000,7-4
85100,7-4
85200,7-5
85300,7-5
85400,7-5
85500,7-5
85600,7-5
85700,7-5
85800,7-5
85900,7-5
86000,7-5
86100,7-5
86200,7-5
86300,7-5
86400,7-5
86500,7-5
86600,7-5
86700,7-6
86800,7-6
86900,7-6
87000,7-6
87100,7-6
87200,7-6
87300,7-6
87400,7-6
87500,7-6
87600,7-6
87700,7-6
87800,7-6
87900,7-6
88000,7-6
88100,7-6
88200,7-6
88300,7-7
88400,7-7
88500,7-7
88600,7-7
88700,7-7
88800,7-7
88900,7-7
89000,7-7
89100,7-7
89200,7-7
89300,7-7
89400,7-7
89500,7-7
89600,7-7
89700,7-7
89800,
89900,
90000,8-7
90100,8-7
90200,8-7
90300,8-7
90400,8-7
90500,8-7
90600,8-7
90700,8-7
90800,8-7
90900,9-7
91000,9-7
91100,9-7
91200,9-7
91300,9-7
91400,9-7
91500,9-7
91600,9-7
91700,9-7
91800,9-7
91900,9-7
92000,9-7
92100,10-7
92200,10-7
92300,10-7
92400,10-7
92500,10-7
92600,10-7
92700,10-7
92800,10-7
92900,0-7
93000,11-7
93100,
93200,11-7
93300,11-7
93400,11-7
93500,11-7
93600,11-7
93700,11-7
93800,11-7
93900,11-7
94000,
94100,11-7
94200,11-7
94300,11-7
94400,11-7
94500,11-7
94600,11-7
94700,11-7
94800,11-7
94900,11-7
95000,11-7
95100,11-7
95200,11-7
95300,11-7
95400,11-7
95500,11-7
95600,11-7
95700,11-7
95800,11-7
95900,11-7
96000,11-7
96100,11-7
96200,11-7
96300,11-7
96400,11-7
96500,11-7
96600,
96700,
96800,
96900,
97000,
97100,
97200,
97300,
97400,
97500,0-0
97600,0-0
97700,0-0
97800,0-0
97900,0-0
98000,0-0
98100,0-0
98200,0-0
98300,0-0
98400,0-0
98500,0-1
98600,0-1
98700,0-1
98800,0-1
98900,0-1
99000,0-1
99100,0-1
99200,0-1
99300,0-1
99400,0-1
99500,0-1
99600,0-1
99700,0-1
99800,0-1
99900,0-1
100000,1-1
100100,1-1
100200,1-1
100300,1-1
100400,1-1
100500,1-1
100600,1-1
100700,1-1
100800,1-1
100900,
101000,
101100,1-1
101200,1-1
101300,
101400,1-1
101500,1-1
101600,
101700,1-2
101800,1-1
101900,
102000,
102100,
102200,
102300,1-2
102400,1-2
102500,
102600,
102700,1-1
102800,
102900,
103000,
103100,
103200,1-3
103300,
103400,
103500,
103600,1-3
103700,
103800,
103900,
104000,
104100,
104200,
104300,
104400,
104500,
104600,
104700,1-4
104800,
104900,1-4
105000,
105100,1-4
105200,
105300,1-4
105400,
105500,
105600,
105700,1-4
105800,2-4
105900,
106000,2-41
106100,2-4
106200,2-4
106300,2-4
106400,2-4
106500,2-4
106600,2-4
106700,2-4
106800,2-4
106900,2-4
107000,2-4
107100,2-4
107200,2-4
107300,2-4
107400,2-4
107500,2-4
107600,3-4
107700,3-4
107800,3-4
107900,3-4
108000,3-4
108100,3-4
108200,3-4
108300,3-4
108400,3-4
108500,3-4
108600,3-4
108700,3-4
108800,3-4
108900,3-4
109000,3-4
109100,3-4
109200,3-4
109300,3-4
109400,3-4
109500,4-4
109600,4-4
109700,4-4
109800,4-4
109900,4-4
110000,4-4
110100,4-4
110200,4-4
110300,4-4
110400,4-4
110500,4-4
110600,4-4
110700,4-4
110800,4-4
110900,4-4
111000,4-4
111100,4-5
111200,4-5
111300,4-5
111400,4-5
111500,4-5
111600,4-5
111700,4-5
111800,4-5
111900,4-5
112000,4-5
112100,4-5
112200,4-5
112300,4-5
112400,4-5
112500,4-5
112600,4-5
112700,4-5
112800,4-5
112900,4-5
113000,4-5
113100,4-5
113200,5-5
113300,5-5
113400,5-5
113500,5-5
113600,5-5
113700,5-5
113800,5-5
113900,5-5
114000,5-5
114100,5-5
114200,5-5
114300,5-5
114400,5-5
114500,5-5
114600,5-5
114700,5-5
114800,5-5
114900,5-5
115000,5-5
115100,5-5
115200,5-5
115300,6-5
115400,6-5
115500,6-5
115600,6-5
115700,6-5
115800,6-5
115900,6-5
116000,6-5
116100,6-5
116200,6-5
116300,6-5
116400,6-5
116500,6-5
116600,6-5
116700,6-5
116800,6-5
116900,6-5
117000,7-5
117100,7-5
117200,7-5
117300,7-5
117400,7-5
117500,7-5
117600,7-5
117700,7-5
117800,7-5
117900,7-5
118000,7-5
118100,7-5
118200,7-5
118300,7-5
118400,7-5
118500,7-5
118600,7-5
118700,7-5
118800,7-5
118900,7-5
119000,7-5
119100,7-5
119200,7-5
119300,7-5
119400,7-6
119500,7-6
119600,7-6
119700,7-6
119800,7-6
119900,7-6
120000,7-6
120100,7-6
120200,7-6
120300,7-6
120400,7-6
120500,7-6
120600,7-6
120700,7-6
120800,7-6
120900,7-6
121000,7-6
121100,7-6
121200,7-6
121300,7-6
121400,7-6
121500,7-6
121600,7-6
121700,7-6
121800,7-6
121900,7-6
122000,7-6
122100,7-6
122200,7-6
122300,8-6
122400,8-6
122500,8-6
122600,
122700,8-6
122800,8-6
122900,8-6
123000,8-6
123100,8-6
123200,8-6
123300,8-6
123400,8-6
123500,8-6
123600,8-6
123700,8-6
123800,8-6
123900,8-6
124000,8-6
124100,8-7
124200,8-7
124300,8-7
124400,8-7
124500,8-7
124600,8-7
124700,8-7
124800,8-7
124900,8-7
125000,8-7
125100,8-7
125200,8-7
125300,8-7
125400,8-8
125500,8-8
125600,8-8
125700,8-8
125800,8-8
125900,8-8
126000,8-8
126100,8-8
126200,8-8
126300,8-8
126400,8-8
126500,8-8
126600,8-8
126700,8-8
126800,8-8
126900,8-8
127000,8-8
127100,8-8
127200,8-8
127300,8-8
127400,8-8
127500,8-8
127600,8-8
127700,8-8
127800,8-8
127900,8-8
128000,8-8
128100,8-8
128200,8-8
128300,8-8
128400,8-8
128500,8-8
128600,8-9
128700,8-9
128800,8-9
128900,8-9
129000,8-9
129100,8-9
129200,8-9
129300,8-9
129400,8-9
129500,8-9
129600,8-9
129700,8-9
129800,8-9
129900,8-9
130000,8-1
130100,8-1
130200,8-1
130300,8-1
130400,8-1
130500,8-1
130600,
130700,8-10
130800,
130900,8-1
131000,8-1
131100,8-1
131200,8-1
131300,
131400,8-1
131500,8-10
131600,8-1
131700,8-1
131800,8-10
131900,
132000,8-1
132100,8-1
132200,9-1
132300,9-1
132400,9-1
132500,9-1
132600,9-1
132700,9-1
132800,9-1
132900,9-1
133000,9-1
133100,9-1
133200,9-1
133300,9-1
133400,9-1
133500,9-1
133600,9-1
133700,
133800,9-11
133900,9-11
134000,9-11
134100,9-11
134200,9-11
134300,9-11
134400,9-11
134500,9-11
134600,9-11
134700,9-11
134800,9-11
134900,9-11
135000,9-11
135100,9-11
135200,9-11
135300,9-11
135400,9-11
135500,9-11
135600,9-11
135700,9-11
135800,9-11
135900,9-11
136000,9-11
136100,9-11
136200,9-11
136300,
136400,
136500,9-11
136600,9-11
136700,9-11
136800,9-11
136900,9-11
137000,9-11
137100,9-11
137200,9-11
137300,9-11
137400,9-11
137500,
137600,
137700,
137800,
137900,
138000,
138100,0-0
138200,0-0
138300,0-0
138400,0-0
138500,0-0
138600,0-1
138700,0-1
138800,0-1
138900,0-1
139000,0-1
139100,0-1
139200,0-1
139300,0-1
139400,0-1
139500,
139600,0-2
139700,0-2
139800,0-2
139900,0-2
140000,0-2
140100,0-2
140200,0-2
140300,0-2
140400,0-2
140500,0-2
140600,0-2
140700,
140800,0-2
140900,
141000,0-2
141100,0-2
141200,0-2
141300,1-2
141400,1-2
141500,1-2
141600,
141700,1-2
141800,
141900,1-2
142000,
142100,1-2
142200,1-2
142300,
142400,1-2
142500,1-2
142600,1-2
142700,
142800,2-2
142900,2-2
143000,2-1
143100,2-1
143200,
143300,
143400,2-2
143500,
143600,2-2
143700,2-2
143800,2-2
143900,2-2
144000,2-1
144100,2-1
144200,
144300,
144400,2-1
144500,
144600,2-3
144700,2-3
144800,2-3
144900,2-3
145000,2-3
145100,2-3
145200,2-3
145300,2-3
145400,2-3
145500,2-3
145600,2-3
145700,2-3
145800,2-3
145900,
146000,2-3
146100,2-3
146200,
146300,3-3
146400,3-3
146500,3-3
146600,
146700,
146800,
146900,
147000,3-3
147100,3-3
147200,3-3
147300,3-3
147400,3-3
147500,3-3
147600,3-3
147700,
147800,
147900,3-3
148000,
148100,3-3
148200,
148300,3-3
148400,
148500,3-3
148600,
148700,3-4
148800,3-4
148900,3-4
149000,3-4
149100,3-4
149200,3-4
149300,3-4
149400,3-4
149500,3-4
149600,3-4
149700,3-5
149800,3-5
149900,3-5
150000,3-4
150100,3-3
150200,
150300,
150400,
150500,5-3
150600,
150700,
150800,
150900,5-3
151000,5-3
151100,5-3
151200,5-3
151300,5-3
151400,
151500,5-3
151600,5-3
151700,5-3
151800,5-3
151900,5-3
152000,5-3
152100,6-3
152200,
152300,
152400,
152500,6-3
152600,6-3
152700,6-3
152800,
152900,6-3
153000,6-3
153100,6-3
153200,6-3
153300,6-3
153400,6-3
153500,6-3
153600,3-3
153700,7-3
153800,7-3
153900,7-3
154000,7-3
154100,7-3
154200,7-3
154300,
154400,7-3
154500,
154600,7-3
154700,7-3
154800,8-3
154900,8-3
155000,8-3
155100,
155200,8-3
155300,8-3
155400,
155500,8-3
155600,
155700,
155800,8-3
155900,8-3
156000,8-3
156100,8-3
156200,8-3
156300,8-3
156400,8-3
156500,
156600,8-3
156700,8-4
156800,8-4
156900,8-4
157000,8-4
157100,8-4
157200,8-4
157300,8-4
157400,8-4
157500,8-4
157600,8-4
157700,8-4
157800,8-4
157900,8-4
158000,8-4
158100,8-4
158200,8-4
158300,8-4
158400,8-4
158500,8-4
158600,8-4
158700,8-4
158800,
158900,9-4
159000,9-4
159100,9-4
159200,9-4
159300,9-4
159400,9-4
159500,9-4
159600,
159700,9-4
159800,9-4
159900,9-4
