frame,score
0,9-6
100,9-6
200,9-6
300,9-6
400,10-6
500,10-6
600,10-6
700,10-6
800,10-6
900,10-6
1000,10-6
1100,10-6
1200,10-6
1300,10-6
1400,10-6
1500,10-6
1600,10-6
1700,10-6
1800,10-6
1900,10-6
2000,10-6
2100,10-6
2200,10-6
2300,10-6
2400,10-6
2500,10-6
2600,10-6
2700,11-6
2800,11-6
2900,11-6
3000,11-6
3100,11-6
3200,11-6
3300,0-0
3400,11-6
3500,11-6
3600,11-6
3700,11-6
3800,11-6
3900,11-6
4000,11-6
4100,0-0
4200,0-0
4300,0-0
4400,11-6
4500,11-6
4600,11-6
4700,11-6
4800,11-6
4900,11-6
5000,11-6
5100,11-6
5200,11-6
5300,11-6
5400,11-6
5500,11-6
5600,11-6
5700,11-6
5800,11-6
5900,11-6
6000,11-6
6100,11-6
6200,11-6
6300,11-6
6400,11-6
6500,11-6
6600,11-6
6700,11-6
6800,11-6
6900,11-6
7000,11-6
7100,0-0
7200,11-6
7300,0-0
7400,0-0
7500,0-0
7600,0-0
7700,0-0
7800,0-0
7900,0-0
8000,0-0
8100,0-0
8200,0-0
8300,0-0
8400,0-0
8500,0-0
8600,0-0
8700,0-0
8800,0-0
8900,0-0
9000,0-0
9100,0-0
9200,0-0
9300,0-0
9400,0-0
9500,0-0
9600,1-0
9700,1-0
9800,1-0
9900,1-0
10000,1-0
10100,1-0
10200,1-0
10300,1-0
10400,1-0
10500,1-0
10600,1-0
10700,1-0
10800,0-0
10900,1-1
11000,1-1
11100,1-1
11200,0-0
11300,0-0
11400,0-0
11500,0-0
11600,1-1
11700,0-0
11800,1-1
11900,1-1
12000,1-1
12100,1-1
12200,1-1
12300,0-0
12400,1-1
12500,1-1
12600,0-0
12700,0-0
12800,2-1
12900,2-1
13000,2-1
13100,2-1
13200,2-1
13300,2-1
13400,2-1
13500,2-1
13600,2-1
13700,2-1
13800,2-1
13900,2-1
14000,2-1
14100,2-1
14200,2-1
14300,2-1
14400,2-1
14500,2-1
14600,2-1
14700,2-1
14800,2-1
14900,2-1
15000,2-1
15100,2-1
15200,0-0
15300,0-0
15400,0-0
15500,2-1
15600,0-0
15700,0-0
15800,0-0
15900,0-0
16000,0-0
16100,0-0
16200,0-0
16300,0-0
16400,2-1
16500,0-0
16600,0-0
16700,0-0
16800,2-1
16900,0-0
17000,0-0
17100,0-0
17200,2-3
17300,2-3
17400,2-3
17500,2-3
17600,2-3
17700,2-3
17800,2-3
17900,2-3
18000,2-3
18100,2-3
18200,2-3
18300,0-0
18400,2-3
18500,2-3
18600,2-3
18700,2-3
18800,2-3
18900,2-3
19000,3-3
19100,3-3
19200,3-3
19300,3-3
19400,3-3
19500,3-3
19600,3-3
19700,3-3
19800,3-3
19900,3-3
20000,3-3
20100,3-3
20200,3-3
20300,3-3
20400,3-3
20500,3-3
20600,3-3
20700,3-3
20800,3-3
20900,3-3
21000,3-3
21100,3-3
21200,3-3
21300,3-3
21400,3-3
21500,3-3
21600,3-3
21700,3-3
21800,3-3
21900,3-3
22000,3-3
22100,3-3
22200,3-3
22300,3-3
22400,3-3
22500,3-3
22600,3-3
22700,3-3
22800,3-3
22900,3-4
23000,3-4
23100,3-4
23200,3-4
23300,3-4
23400,3-4
23500,3-4
23600,3-4
23700,3-4
23800,3-4
23900,3-4
24000,3-4
24100,3-4
24200,3-4
24300,3-4
24400,3-4
24500,3-4
24600,3-4
24700,3-4
24800,3-4
24900,3-4
25000,0-0
25100,0-0
25200,0-0
25300,0-0
25400,0-0
25500,3-3
25600,3-3
25700,4-3
25800,5-3
25900,5-3
26000,5-3
26100,0-0
26200,5-3
26300,5-3
26400,5-3
26500,5-3
26600,5-3
26700,5-3
26800,5-3
26900,5-3
27000,5-3
27100,5-3
27200,5-3
27300,5-3
27400,5-3
27500,5-3
27600,5-3
27700,5-3
27800,5-3
27900,5-3
28000,5-3
28100,5-3
28200,5-4
28300,5-4
28400,5-4
28500,5-4
28600,5-4
28700,5-4
28800,5-4
28900,5-4
29000,5-4
29100,5-4
29200,5-4
29300,5-4
29400,5-4
29500,5-4
29600,5-4
29700,5-4
29800,5-4
29900,5-4
30000,5-5
30100,5-5
30200,5-5
30300,5-5
30400,5-5
30500,5-5
30600,5-5
30700,5-5
30800,5-5
30900,5-5
31000,5-5
31100,5-5
31200,5-5
31300,5-5
31400,5-5
31500,5-5
31600,5-5
31700,5-5
31800,5-5
31900,5-5
32000,5-5
32100,5-5
32200,6-5
32300,6-5
32400,6-5
32500,6-5
32600,6-5
32700,6-5
32800,6-5
32900,6-5
33000,6-5
33100,6-5
33200,6-5
33300,6-5
33400,6-5
33500,6-5
33600,6-5
33700,6-5
33800,6-5
33900,7-5
34000,7-5
34100,7-5
34200,7-5
34300,7-5
34400,7-5
34500,7-5
34600,7-5
34700,7-5
34800,7-5
34900,7-5
35000,7-5
35100,7-5
35200,7-5
35300,7-5
35400,7-5
35500,7-5
35600,7-5
35700,7-5
35800,7-5
35900,7-5
36000,7-5
36100,7-5
36200,7-5
36300,7-5
36400,7-5
36500,7-5
36600,7-5
36700,7-5
36800,0-0
36900,8-5
37000,8-5
37100,8-5
