frame,score
25400,5-3
25401,5-3
25402,5-3
25403,5-3
25404,5-3
25405,5-3
25406,5-3
25407,5-3
25408,5-3
25409,5-3
25410,5-3
25411,5-3
25412,5-3
25413,5-3
25414,5-3
25415,5-3
25416,5-3
25417,5-3
25418,5-3
25419,5-3
25420,5-3
25421,5-3
25422,5-3
25423,5-3
25424,5-3
25425,5-3
25426,5-3
25427,5-3
25428,5-3
25429,5-3
25430,5-3
25431,5-3
25432,5-3
25433,5-3
25434,5-3
25435,5-3
25436,5-3
25437,5-3
25438,5-3
25439,5-3
25440,5-3
25441,5-3
25442,5-3
25443,5-3
25444,5-3
25445,5-3
25446,5-3
25447,5-3
25448,5-3
25449,5-3
25450,5-3
25451,5-3
25452,5-3
25453,5-3
25454,5-3
25455,5-3
25456,5-3
25457,5-3
25458,5-3
25459,5-3
25460,5-3
25461,5-3
25462,5-3
25463,5-3
25464,5-3
25465,5-3
25466,5-3
25467,5-3
25468,5-3
25469,5-3
25470,5-3
25471,5-3
25472,5-3
25473,5-3
25474,5-3
25475,5-3
25476,5-3
25477,5-3
25478,5-3
25479,5-3
25480,5-3
25481,5-3
25482,5-3
25483,5-3
25484,5-3
25485,5-3
25486,5-3
25487,5-3
25488,5-3
25489,5-3
25490,5-3
25491,5-3
25492,5-3
25493,5-3
25494,5-3
25495,5-3
25496,5-3
25497,5-3
25498,5-3
25499,5-3
25500,5-3
25501,5-3
25502,5-3
25503,5-3
25504,5-3
25505,5-3
25506,5-3
25507,5-3
25508,5-3
25509,5-3
25510,5-3
25511,5-3
25512,5-3
25513,5-3
25514,5-3
25515,5-3
25516,5-3
25517,5-3
25518,5-3
25519,5-3
25520,5-3
25521,5-3
25522,5-3
25523,5-3
25524,5-3
25525,5-3
25526,5-3
25527,5-3
25528,5-3
25529,5-3
25530,5-3
25531,5-3
25532,5-3
25533,5-3
25534,5-3
25535,5-3
25536,5-3
25537,5-3
25538,5-3
25539,5-3
25540,5-3
25541,5-3
25542,5-3
25543,5-3
25544,5-3
25545,5-3
25546,5-3
25547,5-3
25548,5-3
25549,5-3
25550,5-3
25551,5-3
25552,5-3
25553,5-3
25554,5-3
25555,5-3
25556,5-3
25557,5-3
25558,5-3
25559,5-3
25560,5-3
25561,5-3
25562,5-3
25563,5-3
25564,5-3
25565,5-3
25566,5-3
25567,5-3
25568,5-3
25569,5-3
25570,5-3
25571,5-3
25572,5-3
25573,5-3
25574,5-3
25575,5-3
25576,5-3
25577,5-3
25578,5-3
25579,5-3
25580,5-3
25581,5-3
25582,5-3
25583,5-3
25584,5-3
25585,5-3
25586,5-3
25587,5-3
25588,5-3
25589,5-3
25590,5-3
25591,5-3
25592,5-3
25593,5-3
25594,5-3
25595,5-3
25596,5-3
25597,5-3
25598,5-3
25599,5-3
25600,5-3
25601,5-3
25602,5-3
25603,5-3
25604,5-3
25605,5-3
25606,5-3
25607,5-3
25608,5-3
25609,5-3
25610,5-3
25611,5-3
25612,5-3
25613,5-3
25614,5-3
25615,5-3
25616,5-3
25617,5-3
25618,5-3
25619,5-3
25620,5-3
25621,5-3
25622,5-3
25623,5-3
25624,5-3
